,chlorides,density,pH,sulphates,alcohol,quality
1208,0.07400000000000001,0.99534,3.4,0.85,11.0,D
1209,0.071,0.99428,3.45,0.87,11.2,D
1210,0.078,0.99498,3.35,0.62,10.4,E
1211,0.076,0.9957,3.32,0.62,9.3,F
1212,0.078,0.99498,3.35,0.62,10.4,E
1213,0.071,0.99659,3.15,0.75,10.5,E
1214,0.081,0.99628,3.1,0.48,10.4,E
1215,0.095,0.99488,3.26,0.56,11.3,E
1216,0.079,0.99677,3.29,0.69,9.5,E
1217,0.057,0.99408,3.23,0.81,12.0,E
1218,0.08199999999999999,0.996,3.24,0.69,10.6,E
1219,0.044,0.99478,3.2,0.83,10.9,E
1220,0.132,0.99734,3.28,0.77,11.5,E
1221,0.132,0.99734,3.28,0.77,11.5,E
1222,0.078,0.99678,3.26,0.46,9.6,E
1223,0.07400000000000001,0.99638,3.23,0.76,12.0,E
1224,0.08,0.9992,3.07,0.82,10.3,E
1225,0.091,0.99922,3.15,0.51,9.4,F
1226,0.08,0.99592,3.02,0.47,9.2,F
1227,0.104,0.99769,3.27,0.72,9.6,F
1228,0.044,0.99157,3.68,0.73,13.6,D
1229,0.075,0.99718,3.4,0.64,9.5,F
1230,0.066,0.9947,3.37,0.78,11.8,E
1231,0.07400000000000001,0.99621,3.38,0.62,10.8,F
1232,0.075,0.99718,3.4,0.64,9.5,F
1233,0.057,0.99614,3.23,0.49,9.3,G
1234,0.059,0.99242,3.39,0.4,12.8,E
1235,0.054000000000000006,0.99572,3.3,0.56,11.5,G
1236,0.07,0.99659,3.26,0.64,9.4,E
1237,0.059,0.99242,3.39,0.4,12.8,E
1238,0.081,0.99798,3.38,0.46,9.6,G
1239,0.057,0.99488,3.45,0.56,11.8,G
1240,0.076,0.99494,3.1,0.4,9.3,F
1241,0.079,0.99729,3.16,0.59,9.8,F
1242,0.058,0.99414,3.22,0.6,12.2,E
1243,0.08199999999999999,0.9983,3.37,0.62,9.5,F
1244,0.067,0.99721,3.33,0.54,10.3,E
1245,0.08199999999999999,0.99655,3.49,0.68,10.5,F
1246,0.086,0.99502,3.12,0.48,10.0,F
1247,0.08199999999999999,0.99655,3.49,0.68,10.5,F
1248,0.081,0.9949,3.41,0.75,11.1,E
1249,0.079,0.99514,3.4,0.61,10.9,E
1250,0.079,0.99514,3.4,0.61,10.9,E
1251,0.077,0.9963,3.28,0.59,9.8,F
1252,0.123,0.99627,3.45,0.58,9.8,F
1253,0.096,0.99569,3.43,0.58,9.5,F
1254,0.079,0.99628,3.4,0.69,10.9,F
1255,0.069,0.99358,3.47,0.45,11.0,F
1256,0.08199999999999999,0.99499,3.1,0.42,9.2,F
1257,0.085,0.99633,3.32,0.7,11.0,E
1258,0.123,0.99538,3.44,0.63,11.3,E
1259,0.123,0.99538,3.44,0.63,11.3,E
1260,0.403,0.99632,3.02,1.15,9.3,F
1261,0.083,0.99437,3.59,0.55,11.2,G
1262,0.081,0.99726,3.15,0.58,9.8,F
1263,0.08900000000000001,0.9978,3.37,0.46,9.6,G
1264,0.066,0.99456,3.38,0.72,11.8,E
1265,0.081,0.99564,3.38,0.6,10.3,E
1266,0.081,0.99564,3.38,0.6,10.3,E
1267,0.068,0.996,3.1,0.87,11.4,E
1268,0.079,0.99668,3.47,0.55,9.5,E
1269,0.044,0.9908,3.5,0.82,14.0,C
1270,0.048,0.99084,3.7,0.75,14.0,E
1271,0.049,0.9935,3.38,0.57,11.7,E
1272,0.077,0.99385,3.5,0.53,11.2,F
1273,0.073,0.99494,3.1,0.43,9.3,F
1274,0.102,0.9944,3.24,0.53,11.2,E
1275,0.075,0.99688,3.24,0.54,9.5,E
1276,0.05,0.99566,3.28,0.56,12.0,G
1277,0.114,0.99636,3.35,0.6,9.7,E
1278,0.075,0.99688,3.24,0.54,9.5,E
1279,0.062,0.9948,3.14,0.57,11.5,D
1280,0.077,0.9956,3.37,0.64,10.4,E
1281,0.077,0.9956,3.37,0.64,10.4,E
1282,0.084,0.99619,3.33,0.68,10.9,E
1283,0.096,0.99734,3.26,0.63,10.2,E
1284,0.071,0.99476,3.39,0.56,10.9,F
1285,0.09,0.99734,3.15,0.57,10.5,F
1286,0.068,0.99328,3.35,0.54,12.4,E
1287,0.056,0.99286,3.22,0.37,13.0,F
1288,0.068,0.99914,3.3,1.17,10.2,F
1289,0.068,0.99914,3.3,1.17,10.2,F
1290,0.1,0.99521,3.36,0.59,11.0,F
1291,0.073,0.99638,3.29,0.75,10.9,E
1292,0.056,0.99362,3.62,0.67,12.4,E
1293,0.084,0.99672,3.34,0.49,9.7,G
1294,0.073,0.99638,3.29,0.75,10.9,E
1295,0.093,0.99558,3.2,0.45,9.5,F
1296,0.093,0.99558,3.2,0.45,9.5,F
1297,0.064,0.99323,3.35,0.61,12.1,E
1298,0.063,0.99191,3.45,0.56,12.2,E
1299,0.13699999999999998,0.99476,3.5,0.4,10.9,H
1300,0.08,0.99444,3.78,0.61,12.5,E
1301,0.1,0.99598,3.6,0.74,11.7,E
1302,0.064,0.99576,3.3,0.8,11.2,E
1303,0.081,0.99501,3.36,0.66,11.2,F
1304,0.087,0.9955,3.12,0.44,9.2,F
1305,0.073,0.99612,3.3,0.53,9.8,F
1306,0.08800000000000001,0.9979,3.29,0.62,10.1,F
1307,0.068,0.99524,3.41,0.52,11.1,G
1308,0.08800000000000001,0.9979,3.29,0.62,10.1,F
1309,0.071,0.996,3.28,0.61,9.2,F
1310,0.073,0.99612,3.3,0.53,9.8,F
1311,0.064,0.9929,3.33,0.59,12.8,E
1312,0.083,0.99532,3.34,0.47,10.5,F
1313,0.086,0.99558,3.4,0.54,10.1,E
1314,0.086,0.99556,3.4,0.53,10.1,E
1315,0.083,0.99616,3.26,0.58,9.8,E
1316,0.041,0.99258,4.01,0.59,12.5,E
1317,0.091,0.99638,3.18,0.69,11.9,E
1318,0.083,0.99616,3.26,0.58,9.8,E
1319,0.414,0.99652,2.9,1.33,9.1,E
1320,0.094,0.99796,3.26,0.66,10.1,F
1321,0.041,0.99258,4.01,0.59,12.5,E
1322,0.058,0.99392,3.18,0.55,11.4,F
1323,0.06,0.99495,3.18,0.82,11.0,D
1324,0.077,0.9948,3.39,0.6,10.6,E
1325,0.077,0.9948,3.39,0.6,10.6,E
1326,0.077,0.9948,3.39,0.6,10.6,E
1327,0.077,0.9948,3.39,0.6,10.6,E
1328,0.073,0.9955,3.34,0.52,9.3,F
1329,0.083,0.99616,3.29,0.56,9.8,E
1330,0.083,0.99616,3.29,0.56,9.8,E
1331,0.107,0.99668,3.26,0.46,9.2,F
1332,0.075,0.99581,3.09,0.43,9.7,E
1333,0.079,0.9976,3.18,0.51,9.6,F
1334,0.166,0.99608,3.39,0.52,10.0,F
1335,0.069,0.99387,3.38,0.66,12.6,E
1336,0.057,0.99448,3.36,0.45,9.5,F
1337,0.057,0.99448,3.36,0.45,9.5,F
1338,0.057,0.99448,3.36,0.45,9.5,F
1339,0.084,0.99538,3.36,0.54,10.5,E
1340,0.084,0.99538,3.36,0.54,10.5,E
1341,0.084,0.99538,3.36,0.54,10.5,E
1342,0.085,0.99589,3.37,0.51,10.4,E
1343,0.084,0.99538,3.36,0.54,10.5,E
1344,0.077,0.99852,3.09,0.53,11.0,F
1345,0.063,0.99613,3.25,0.53,10.2,E
1346,0.056,0.99472,3.52,0.56,11.4,F
1347,0.078,0.99587,3.34,0.39,9.5,F
1348,0.078,0.99587,3.34,0.39,9.5,F
1349,0.081,0.99518,3.41,0.52,10.8,F
1350,0.069,0.99654,3.34,0.57,10.0,F
1351,0.065,0.99332,3.32,0.51,11.8,E
1352,0.086,0.9969,3.37,0.46,10.3,F
1353,0.086,0.9969,3.37,0.46,10.3,F
1354,0.077,0.99568,3.35,0.52,10.0,F
1355,0.086,0.99464,3.36,0.44,10.1,F
1356,0.084,0.99464,3.36,0.44,10.1,F
1357,0.078,0.99648,3.6,0.59,11.1,E
1358,0.168,0.99736,3.28,0.5,9.5,F
1359,0.091,0.99704,3.07,0.65,10.0333333333333,E
1360,0.112,0.99699,3.24,0.56,10.9,F
1361,0.093,0.99724,3.36,0.54,10.1,F
1362,0.091,0.99704,3.07,0.65,10.0333333333333,E
1363,0.08,0.99652,3.29,0.48,9.8,G
1364,0.096,0.995,3.46,0.53,11.8,E
1365,0.115,0.9971,3.18,0.62,9.5,F
1366,0.094,0.99576,3.24,0.5,9.8,F
1367,0.08800000000000001,0.99725,3.25,1.18,10.5,E
1368,0.079,0.99656,3.27,0.5,9.8,E
1369,0.069,0.99396,3.33,0.37,10.4,G
1370,0.415,0.99623,3.0,1.17,9.2,F
1371,0.153,0.99476,3.21,1.03,11.6,E
1372,0.415,0.99623,3.0,1.17,9.2,F
1373,0.11,0.99664,3.24,0.45,9.3,F
1374,0.267,0.99471,3.32,0.51,9.8,H
1375,0.083,0.99586,3.26,0.52,9.9,F
1376,0.086,0.9946,3.11,0.46,10.0,F
1377,0.09,0.9953,3.71,0.62,12.2,E
1378,0.078,0.99609,3.29,0.51,9.9,E
1379,0.077,0.99557,3.36,0.62,10.8,E
1380,0.077,0.99557,3.36,0.62,10.8,E
1381,0.07400000000000001,0.99534,3.38,0.45,9.6,F
1382,0.08,0.99613,3.3,0.49,9.9,F
1383,0.08,0.99613,3.3,0.49,9.9,F
1384,0.107,0.99593,3.19,0.5,9.5,F
1385,0.076,0.99668,3.19,0.42,9.2,F
1386,0.1,0.9961,3.3,0.58,9.6,F
1387,0.1,0.9961,3.3,0.58,9.6,F
1388,0.083,0.99718,3.35,0.68,10.3,F
1389,0.08,0.99524,3.1,0.53,9.7,F
1390,0.068,0.99292,3.58,0.59,12.5,E
1391,0.094,0.99612,3.37,0.58,11.0,F
1392,0.07,0.9942,3.17,0.48,9.8,F
1393,0.078,0.99612,3.3,0.48,10.2,F
1394,0.07,0.99669,3.32,0.48,9.2,F
1395,0.092,0.99745,3.31,0.65,9.55,E
1396,0.09,0.99745,3.31,0.65,9.55,F
1397,0.08,0.99584,3.28,0.52,9.9,F
1398,0.083,0.9966,3.52,0.62,10.2,D
1399,0.068,0.9956,3.42,0.72,11.1,E
1400,0.08,0.9962,3.25,0.51,9.9,F
1401,0.08,0.9962,3.25,0.51,9.9,F
1402,0.052000000000000005,0.9963,3.44,0.82,11.9,E
1403,0.061,0.996,3.23,1.1,10.0,C
1404,0.08199999999999999,0.9985,3.43,0.62,10.7,E
1405,0.062,0.9952,3.28,0.9,11.3,D
1406,0.062,0.9974,3.22,0.94,10.9,E
1407,0.064,0.995,3.54,0.93,10.7,E
1408,0.048,0.995,3.27,1.01,12.4,D
1409,0.064,0.995,3.54,0.93,10.7,E
1410,0.08199999999999999,0.9936,3.5,0.44,11.9,E
1411,0.071,0.9963,3.56,0.73,10.6,E
1412,0.062,0.9974,3.22,0.94,10.9,E
1413,0.104,0.9963,3.04,0.9,10.1,F
1414,0.077,0.9994,3.2,0.78,9.6,F
1415,0.065,0.9966,3.56,0.84,9.4,F
1416,0.077,0.9994,3.2,0.78,9.6,F
1417,0.064,0.9952,3.35,0.77,12.1,D
1418,0.077,0.995,3.16,0.46,9.8,F
1419,0.077,0.9956,3.27,0.45,9.9,F
1420,0.077,0.995,3.16,0.46,9.8,F
1421,0.079,0.9965,3.34,0.58,9.4,F
1422,0.079,0.9956,3.39,0.84,11.4,E
1423,0.123,0.9968,3.5,0.67,11.0,G
1424,0.076,0.9974,3.26,0.7,9.6,E
1425,0.076,0.9974,3.26,0.7,9.6,E
1426,0.046,0.9971,3.41,0.71,12.1,E
1427,0.078,0.9957,3.3,0.58,11.2,F
1428,0.07200000000000001,0.9962,3.31,0.63,11.0,F
1429,0.049,0.996,3.33,0.93,11.3,F
1430,0.066,0.9956,3.37,0.62,10.4,F
1431,0.069,0.9958,3.26,0.54,9.9,E
1432,0.042,0.9944,3.48,0.85,11.7,E
1433,0.069,0.9955,3.42,0.74,10.1,D
1434,0.214,1.00369,3.18,0.77,9.0,E
1435,0.214,1.00369,3.18,0.77,9.0,E
1436,0.16899999999999998,0.99914,3.15,0.65,8.5,F
1437,0.07,0.99577,3.53,0.54,11.1,F
1438,0.052000000000000005,0.996,3.41,0.47,10.3,F
1439,0.07200000000000001,0.99566,3.32,0.68,11.066666666666698,E
1440,0.062,0.9947,3.23,0.73,11.3,D
1441,0.094,0.99713,3.16,0.52,9.56666666666667,E
1442,0.078,0.99712,3.4,0.75,9.8,F
1443,0.058,0.99322,3.38,0.49,11.7,F
1444,0.07200000000000001,0.99566,3.32,0.68,11.1,E
1445,0.094,0.99713,3.16,0.52,9.6,E
1446,0.078,0.99712,3.4,0.75,9.8,F
1447,0.08,0.99701,3.4,0.74,9.7,F
1448,0.08,0.99683,3.4,0.73,9.7,F
1449,0.056,0.99472,3.23,0.76,11.3,C
1450,0.062,0.9947,3.23,0.73,11.3,D
1451,0.104,0.99732,3.33,0.78,11.0,D
1452,0.062,0.99374,3.35,0.76,11.6,D
1453,0.07400000000000001,0.99706,3.41,0.58,9.0,F
1454,0.073,0.99974,3.21,0.69,10.9,E
1455,0.052000000000000005,0.99467,3.5,0.63,10.9,E
1456,0.05,0.99236,3.3,0.5,10.55,E
1457,0.07400000000000001,0.99706,3.41,0.58,9.0,F
1458,0.067,0.99603,3.39,0.6,10.5,F
1459,0.054000000000000006,0.99458,3.32,0.8,11.9,D
1460,0.054000000000000006,0.99724,3.41,0.68,10.4,E
1461,0.06,0.99664,3.59,0.61,10.0,G
1462,0.075,0.99545,3.36,0.58,10.4,E
1463,0.076,0.99522,3.34,0.53,10.8,E
1464,0.063,0.9958,3.41,0.67,9.7,F
1465,0.063,0.9958,3.41,0.67,9.7,F
1466,0.062,0.99728,3.3,0.65,10.0,D
1467,0.067,0.99648,3.52,0.57,11.0,G
1468,0.062,0.99728,3.3,0.65,10.0,D
1469,0.061,0.99705,3.31,0.55,9.7,H
1470,0.084,0.99578,2.88,0.47,9.7,F
1471,0.067,0.99334,3.43,0.52,12.6,F
1472,0.073,0.99656,3.38,0.79,11.1,E
1473,0.071,0.99336,3.38,0.54,11.0,F
1474,0.205,1.00242,3.16,0.75,8.8,F
1475,0.048,0.99182,3.54,0.88,13.566666666666698,D
1476,0.205,1.00242,3.16,0.75,8.8,F
1477,0.048,0.99182,3.54,0.88,13.6,D
1478,0.08199999999999999,0.99808,3.4,0.52,10.2,H
1479,0.104,0.99828,3.39,0.68,10.6,F
1480,0.08,0.99498,3.66,0.62,10.1,G
1481,0.104,0.99828,3.39,0.68,10.6,F
1482,0.114,0.99719,3.33,0.57,10.3,G
1483,0.042,0.99542,3.35,0.61,10.7,F
1484,0.06,0.99592,3.53,0.64,10.9,G
1485,0.07400000000000001,0.99606,3.37,0.55,9.7,F
1486,0.07,0.99546,3.38,0.6,10.3,F
1487,0.066,0.99496,3.52,0.78,10.6,F
1488,0.049,0.9942,3.72,0.58,11.4,F
1489,0.048,0.99448,3.44,0.76,10.8,E
1490,0.039,0.99344,3.39,0.56,12.4,E
1491,0.049,0.9942,3.72,0.58,11.4,F
1492,0.05,0.99348,3.57,0.54,11.95,F
1493,0.08900000000000001,0.99636,3.26,0.59,9.7,F
1494,0.066,0.99459,3.42,0.7,10.0,D
1495,0.08,0.99492,3.35,0.81,10.6,E
1496,0.08900000000000001,0.99636,3.26,0.59,9.7,F
1497,0.054000000000000006,0.99508,3.45,0.63,11.5,E
1498,0.068,0.99582,3.53,0.58,10.8,E
1499,0.054000000000000006,0.99508,3.45,0.63,11.5,E
1500,0.076,0.99508,3.26,0.53,9.6,F
1501,0.083,0.99642,3.16,0.53,9.4,F
1502,0.078,0.99638,3.31,0.54,9.8,F
1503,0.077,0.99555,3.51,0.69,11.0,E
1504,0.106,0.99605,3.36,0.55,11.4,E
1505,0.078,0.996,3.55,0.63,9.95,H
1506,0.07,0.99562,3.51,0.66,10.8,E
1507,0.106,0.99605,3.36,0.55,11.4,E
1508,0.07400000000000001,0.99814,3.38,0.72,10.6,E
1509,0.062,0.9941,3.28,0.7,11.1,F
1510,0.047,0.99661,3.47,0.77,9.7,E
1511,0.068,0.99712,3.44,0.67,9.8,F
1512,0.061,0.99588,3.53,0.65,10.4,E
1513,0.078,0.99294,3.33,0.6,10.5,E
1514,0.07400000000000001,0.99842,3.53,0.72,9.23333333333333,E
1515,0.07400000000000001,0.99842,3.53,0.72,9.25,E
1516,0.071,0.99633,3.42,0.97,10.6,F
1517,0.063,0.99489,3.38,0.83,10.3,E
1518,0.114,0.99647,3.32,0.63,10.5,F
1519,0.106,0.99665,3.44,0.58,10.2,F
1520,0.063,0.99489,3.38,0.83,10.3,E
1521,0.08199999999999999,0.99585,3.39,0.43,9.05,G
1522,0.071,0.99633,3.42,0.97,10.6,F
1523,0.076,0.9953,3.34,0.6,10.4,F
1524,0.075,0.99522,3.39,0.78,10.0,E
1525,0.064,0.99552,3.33,0.64,9.7,F
1526,0.064,0.99553,3.3,0.65,9.6,E
1527,0.071,0.9951,3.29,0.66,10.8,E
1528,0.096,0.99714,3.31,0.67,10.1,E
1529,0.063,0.99608,3.42,0.6,10.2,E
1530,0.063,0.99444,3.42,0.69,11.3,E
1531,0.081,0.99631,3.6,0.66,10.2,F
1532,0.058,0.99573,3.21,0.68,9.9,E
1533,0.07400000000000001,0.99717,3.39,0.61,9.0,F
1534,0.064,0.99397,3.42,0.62,11.7,D
1535,0.075,0.9959,3.36,0.59,9.7,E
1536,0.077,0.99528,3.6,0.68,10.3,E
1537,0.059,0.99484,3.5,0.64,10.2,E
1538,0.081,0.99538,3.57,0.63,12.0,F
1539,0.065,0.99714,3.46,0.78,9.9,F
1540,0.071,0.99646,3.56,0.63,11.6,E
1541,0.054000000000000006,0.99666,3.4,0.76,10.9,D
1542,0.064,0.99472,3.3,0.56,10.75,E
1543,0.064,0.99758,3.25,0.57,10.4,E
1544,0.063,0.9955,3.17,0.81,11.2,D
1545,0.059,0.99531,3.36,0.64,10.1,E
1546,0.07200000000000001,0.99575,3.36,0.61,10.2,F
1547,0.048,0.99306,3.55,0.51,12.1,F
1548,0.099,0.99783,3.1,0.58,10.4,F
1549,0.07400000000000001,0.99419,3.24,0.7,11.4,C
1550,0.087,0.99783,3.45,0.53,9.5,F
1551,0.083,0.99768,3.44,0.54,9.4,F
1552,0.103,0.99586,3.51,0.66,11.3,E
1553,0.08,0.99765,3.41,0.6,9.4,F
1554,0.062,0.99627,3.54,0.6,11.0,E
1555,0.065,0.99514,3.44,0.68,10.55,D
1556,0.066,0.99636,3.53,0.56,9.9,F
1557,0.062,0.99627,3.54,0.6,11.0,E
1558,0.235,0.99787,3.22,0.56,9.5,F
1559,0.08,0.99622,3.21,0.52,9.9,F
1560,0.08,0.99622,3.21,0.52,9.9,F
1561,0.08,0.99622,3.21,0.52,9.9,F
1562,0.076,0.99546,3.29,0.54,10.1,F
1563,0.076,0.99546,3.29,0.54,10.1,F
1564,0.076,0.99546,3.29,0.54,10.1,F
1565,0.061,0.99489,3.39,0.82,10.9,E
1566,0.059,0.99494,3.34,0.71,11.2,E
1567,0.076,0.99546,3.29,0.54,10.1,F
1568,0.077,0.99629,3.34,0.59,9.2,F
1569,0.056,0.99396,3.48,0.57,11.5,E
1570,0.23,0.9934,3.37,0.93,12.4,E
1571,0.038,0.99514,3.44,0.65,11.1,E
1572,0.069,0.99632,3.33,0.51,9.5,F
1573,0.075,0.99467,3.58,0.67,12.5,E
1574,0.07400000000000001,0.99677,3.39,0.48,10.5,E
1575,0.06,0.99474,3.26,0.64,11.8,E
1576,0.081,0.99588,3.3,0.78,10.8,E
1577,0.076,0.99622,3.54,0.6,11.9,E
1578,0.118,0.9954,3.42,0.67,11.3,E
1579,0.053,0.99402,3.54,0.6,11.3,F
1580,0.068,0.9947,3.36,0.6,11.9,E
1581,0.053,0.99402,3.54,0.6,11.3,F
1582,0.053,0.99362,3.57,0.5,11.9,F
1583,0.07400000000000001,0.99578,3.33,0.62,9.8,F
1584,0.061,0.99484,3.29,0.8,11.6,D
1585,0.066,0.99494,3.3,0.84,11.5,E
1586,0.065,0.99492,3.34,0.85,11.4,E
1587,0.066,0.99483,3.55,0.66,10.9,E
1588,0.068,0.99414,3.27,0.78,12.8,E
1589,0.073,0.9977,3.29,0.54,9.2,F
1590,0.077,0.99314,3.32,0.82,11.6,E
1591,0.08900000000000001,0.99402,3.67,0.56,11.6,E
1592,0.076,0.99574,3.42,0.75,11.0,E
1593,0.068,0.99651,3.42,0.82,9.5,E
1594,0.09,0.9949,3.45,0.58,10.5,F
1595,0.062,0.99512,3.52,0.76,11.2,E
1596,0.076,0.99574,3.42,0.75,11.0,E
1597,0.075,0.99547,3.57,0.71,10.2,F
1598,0.067,0.99549,3.39,0.66,11.0,E
